algorithm,run_number,run_duration,iterations,cost
Baseline,0,0.0191497802734375,,49552
Baseline,0,0.013911962509155273,,47068
Baseline,0,0.011442899703979492,,48706
Baseline,0,0.014261722564697266,,48589
Baseline,0,0.022782087326049805,,48049
Baseline,0,0.04820513725280762,,48598
Baseline,0,0.01141977310180664,,48850
Baseline,0,0.0249631404876709,,46267
Baseline,0,0.0023660659790039062,,49192
Baseline,0,0.01143789291381836,,49300
Baseline,0,0.0023789405822753906,,47185
Baseline,0,0.0043430328369140625,,48445
Baseline,0,0.05750298500061035,,47482
Baseline,0,0.016046762466430664,,46591
Baseline,0,0.05651593208312988,,49174
Baseline,0,0.02921295166015625,,47932
Baseline,0,0.020457983016967773,,45826
Baseline,0,0.009509801864624023,,48904
Baseline,0,0.00758814811706543,,46456
Baseline,0,0.02532505989074707,,49606
Baseline,0,0.0229947566986084,,49435
Baseline,0,0.008720159530639648,,47194
Baseline,0,0.014807939529418945,,47842
Baseline,0,0.0049190521240234375,,46888
Baseline,0,0.03139209747314453,,47185
Baseline,0,0.08214783668518066,,46645
Baseline,0,0.02036571502685547,,48364
Baseline,0,0.006773948669433594,,47545
Baseline,0,0.03718090057373047,,48058
Baseline,0,0.04003500938415527,,49138
Baseline,0,0.002025127410888672,,45232
Baseline,0,0.002206087112426758,,45232
Baseline,0,0.0023310184478759766,,47113
Baseline,0,0.03454303741455078,,47806
Baseline,0,0.002499818801879883,,46465
Baseline,0,0.024789810180664062,,48166
Baseline,0,0.038324832916259766,,46834
Baseline,0,0.014434099197387695,,47752
Baseline,0,0.00923609733581543,,48355
Baseline,0,0.016503095626831055,,46807
Baseline,0,0.018925189971923828,,47356
Baseline,0,0.014145135879516602,,48958
Baseline,0,0.023413896560668945,,45916
Baseline,0,0.004746675491333008,,48058
Baseline,0,0.009391069412231445,,48337
Baseline,0,0.014092206954956055,,48472
Baseline,0,0.016185998916625977,,48256
Baseline,0,0.043749094009399414,,47581
Baseline,0,0.008916854858398438,,46924
Baseline,0,0.00692296028137207,,46555
Baseline,0,0.020920753479003906,,50272
Baseline,0,0.028033018112182617,,47338
Baseline,0,0.001912832260131836,,46114
Baseline,0,0.035830020904541016,,48031
Baseline,0,0.013828039169311523,,49480
Baseline,0,0.018225908279418945,,49372
Baseline,0,0.004486083984375,,48823
Baseline,0,0.013257980346679688,,45745
Baseline,0,0.006849765777587891,,48292
Baseline,0,0.014093160629272461,,48904
Baseline,0,0.002218008041381836,,47779
Baseline,0,0.029616117477416992,,47905
Baseline,0,0.004478931427001953,,47698
Baseline,0,0.036467790603637695,,48958
Baseline,0,0.0045659542083740234,,47761
Baseline,0,0.004754066467285156,,46546
Baseline,0,0.018479108810424805,,47131
Baseline,0,0.016384124755859375,,50218
Baseline,0,0.06451606750488281,,46510
Baseline,0,0.007078886032104492,,48355
Baseline,0,0.019559860229492188,,47986
Baseline,0,0.01673412322998047,,46960
Baseline,0,0.05285811424255371,,46591
Baseline,0,0.047251224517822266,,46105
Baseline,0,0.002193927764892578,,48364
Baseline,0,0.0022640228271484375,,47527
Baseline,0,0.04780220985412598,,48553
Baseline,0,0.0070950984954833984,,48319
Baseline,0,0.013650178909301758,,48544
Baseline,0,0.008917093276977539,,48310
Baseline,0,0.036412954330444336,,49120
Baseline,0,0.009155035018920898,,47770
Baseline,0,0.007156848907470703,,48535
Baseline,0,0.01792001724243164,,48445
Baseline,0,0.014152050018310547,,48355
Baseline,0,0.02322077751159668,,48040
Baseline,0,0.0048100948333740234,,47824
Baseline,0,0.018298864364624023,,47167
Baseline,0,0.04032087326049805,,47581
Baseline,0,0.025077104568481445,,47752
Baseline,0,0.02495288848876953,,47545
Baseline,0,0.015469074249267578,,46987
Baseline,0,0.002332925796508789,,47797
Baseline,0,0.03874993324279785,,48580
Baseline,0,0.0157778263092041,,48004
Baseline,0,0.02314591407775879,,48706
Baseline,0,0.011333942413330078,,47446
Baseline,0,0.002340078353881836,,48391
Baseline,0,0.006865978240966797,,47581
Baseline,0,0.07068324089050293,,48022
Baseline,0,0.03301286697387695,,47842
Baseline,0,0.038323163986206055,,48796
Baseline,0,0.024717092514038086,,47383
Baseline,0,0.022343158721923828,,47293
Baseline,0,0.015795230865478516,,46555
Baseline,0,0.02929377555847168,,48589
Baseline,0,0.013932943344116211,,46195
Baseline,0,0.0047452449798583984,,48661
Baseline,0,0.0315096378326416,,47761
Baseline,0,0.011823892593383789,,48940
Baseline,0,0.016534090042114258,,48697
Baseline,0,0.014364004135131836,,48310
Baseline,0,0.02810192108154297,,48634
Baseline,0,0.011413812637329102,,48202
Baseline,0,0.0023458003997802734,,46141
Baseline,0,0.03161883354187012,,48490
Baseline,0,0.006756782531738281,,48220
Baseline,0,0.0023469924926757812,,48535
Baseline,0,0.0072171688079833984,,49318
Baseline,0,0.039083003997802734,,48130
Baseline,0,0.009401082992553711,,46816
Baseline,0,0.022850990295410156,,48382
Baseline,0,0.015819787979125977,,48085
Baseline,0,0.03995704650878906,,47905
Baseline,0,0.0043489933013916016,,48868
Baseline,0,0.002355337142944336,,47446
Baseline,0,0.009292840957641602,,46357
Baseline,0,0.0023310184478759766,,47986
Baseline,0,0.00463414192199707,,46357
Baseline,0,0.02805185317993164,,48211
Baseline,0,0.029549837112426758,,47455
Baseline,0,0.013242006301879883,,47662
Baseline,0,0.011300086975097656,,46474
Baseline,0,0.0069310665130615234,,48292
Baseline,0,0.02472090721130371,,46636
Baseline,0,0.03429388999938965,,46447
Baseline,0,0.00679779052734375,,47455
Baseline,0,0.02736806869506836,,47797
Baseline,0,0.04264116287231445,,49957
Baseline,0,0.01800394058227539,,49840
Baseline,0,0.04875016212463379,,47482
Baseline,0,0.017843961715698242,,46861
Baseline,0,0.013775110244750977,,49129
Baseline,0,0.002318143844604492,,46861
Baseline,0,0.01799607276916504,,48130
Baseline,0,0.011159181594848633,,46888
Baseline,0,0.07105112075805664,,49048
Baseline,0,0.016130685806274414,,48445
Baseline,0,0.004507780075073242,,48355
Baseline,0,0.027544021606445312,,47941
Baseline,0,0.027369976043701172,,47023
Baseline,0,0.0022361278533935547,,46699
Baseline,0,0.018102169036865234,,47113
Baseline,0,0.009020090103149414,,48760
Baseline,0,0.006584882736206055,,47068
Baseline,0,0.047408103942871094,,47311
