algorithm,run_number,run_duration,iterations,cost
Greedy,0,0.03084707260131836,,35647
Greedy,0,0.021692991256713867,,35620
Greedy,0,0.024303913116455078,,35593
Greedy,0,0.0018622875213623047,,34972
Greedy,0,0.008919000625610352,,34828
Greedy,0,0.007581949234008789,,34828
Greedy,0,0.0048367977142333984,,35530
Greedy,0,0.028777122497558594,,35440
Greedy,0,0.0076940059661865234,,35008
Greedy,0,0.012003183364868164,,35908
Greedy,0,0.005856037139892578,,35764
Greedy,0,0.0031049251556396484,,35431
Greedy,0,0.0017409324645996094,,35143
Greedy,0,0.004679203033447266,,35458
Greedy,0,0.0061299800872802734,,35368
Greedy,0,0.016062021255493164,,35224
Greedy,0,0.020337820053100586,,35341
Greedy,0,0.004651069641113281,,35161
Greedy,0,0.008504152297973633,,35476
Greedy,0,0.0061190128326416016,,35098
Greedy,0,0.006030082702636719,,35503
Greedy,0,0.01574873924255371,,35017
Greedy,0,0.00174713134765625,,35458
Greedy,0,0.007071018218994141,,35440
Greedy,0,0.026411771774291992,,35458
Greedy,0,0.0059092044830322266,,34963
Greedy,0,0.01853489875793457,,35161
Greedy,0,0.002003908157348633,,35494
Greedy,0,0.011517047882080078,,35476
Greedy,0,0.014302968978881836,,35278
Greedy,0,0.013607978820800781,,35539
Greedy,0,0.012554168701171875,,35233
Greedy,0,0.01850104331970215,,34999
Greedy,0,0.006370067596435547,,36736
Greedy,0,0.004685878753662109,,34747
Greedy,0,0.0034220218658447266,,35422
Greedy,0,0.023205995559692383,,36052
Greedy,0,0.010405778884887695,,35485
Greedy,0,0.024702072143554688,,35449
Greedy,0,0.013476133346557617,,35449
Greedy,0,0.02756810188293457,,35476
Greedy,0,0.008939743041992188,,35260
Greedy,0,0.014715194702148438,,35098
Greedy,0,0.02032184600830078,,34864
Greedy,0,0.006146907806396484,,35494
Greedy,0,0.016241073608398438,,35404
Greedy,0,0.041059255599975586,,35278
Greedy,0,0.01564168930053711,,35485
Greedy,0,0.004433155059814453,,35476
Greedy,0,0.010675191879272461,,35638
Greedy,0,0.010981082916259766,,35782
Greedy,0,0.0016591548919677734,,35206
Greedy,0,0.02760601043701172,,35332
Greedy,0,0.0058422088623046875,,35971
Greedy,0,0.002953052520751953,,35566
Greedy,0,0.004687786102294922,,35548
Greedy,0,0.003052234649658203,,35053
Greedy,0,0.015542030334472656,,35125
Greedy,0,0.009181976318359375,,34990
Greedy,0,0.0018880367279052734,,35377
Greedy,0,0.004106998443603516,,35251
Greedy,0,0.010941028594970703,,35278
Greedy,0,0.0017631053924560547,,35233
Greedy,0,0.011027812957763672,,35386
Greedy,0,0.007047891616821289,,35242
Greedy,0,0.03600907325744629,,35404
Greedy,0,0.0017452239990234375,,35377
Greedy,0,0.013808727264404297,,35548
Greedy,0,0.014971256256103516,,35278
Greedy,0,0.001744985580444336,,35692
Greedy,0,0.00718379020690918,,35476
Greedy,0,0.0043792724609375,,35314
Greedy,0,0.0060977935791015625,,35557
Greedy,0,0.001867055892944336,,35512
Greedy,0,0.019687891006469727,,35476
Greedy,0,0.040194034576416016,,35278
Greedy,0,0.043066978454589844,,35485
Greedy,0,0.0033080577850341797,,35485
Greedy,0,0.003167867660522461,,35467
Greedy,0,0.014287948608398438,,35377
Greedy,0,0.0059969425201416016,,35764
Greedy,0,0.007249116897583008,,35413
Greedy,0,0.012855052947998047,,35044
Greedy,0,0.012270927429199219,,35638
Greedy,0,0.01824808120727539,,35647
Greedy,0,0.004509925842285156,,35674
Greedy,0,0.0018718242645263672,,35350
Greedy,0,0.0047490596771240234,,35323
Greedy,0,0.007916927337646484,,35350
Greedy,0,0.0016601085662841797,,35332
Greedy,0,0.010545730590820312,,35359
Greedy,0,0.009534120559692383,,35620
Greedy,0,0.009009122848510742,,35719
Greedy,0,0.003031015396118164,,35872
Greedy,0,0.005728006362915039,,35170
Greedy,0,0.005568981170654297,,35134
Greedy,0,0.0031511783599853516,,35674
Greedy,0,0.0040929317474365234,,34981
Greedy,0,0.009286165237426758,,35089
Greedy,0,0.0029129981994628906,,35575
Greedy,0,0.029276132583618164,,35215
Greedy,0,0.0017468929290771484,,35323
Greedy,0,0.0016560554504394531,,35548
Greedy,0,0.01805710792541504,,35530
Greedy,0,0.004198789596557617,,35458
Greedy,0,0.0017480850219726562,,35332
Greedy,0,0.004419088363647461,,35539
Greedy,0,0.014015913009643555,,35332
Greedy,0,0.0028150081634521484,,34765
Greedy,0,0.012148141860961914,,35143
Greedy,0,0.0018758773803710938,,35647
Greedy,0,0.00900721549987793,,35647
Greedy,0,0.014945030212402344,,35746
Greedy,0,0.01698470115661621,,35971
Greedy,0,0.005303144454956055,,35602
Greedy,0,0.01833796501159668,,35251
Greedy,0,0.0030519962310791016,,35683
Greedy,0,0.001741170883178711,,35143
Greedy,0,0.009196996688842773,,34963
Greedy,0,0.01682138442993164,,34900
Greedy,0,0.001683950424194336,,34963
Greedy,0,0.007010698318481445,,35908
Greedy,0,0.003026247024536133,,35269
Greedy,0,0.004079103469848633,,35098
Greedy,0,0.0016231536865234375,,34657
Greedy,0,0.00415802001953125,,35305
Greedy,0,0.001628875732421875,,35440
Greedy,0,0.0016412734985351562,,35197
Greedy,0,0.007752180099487305,,35080
Greedy,0,0.004156827926635742,,35431
Greedy,0,0.0030601024627685547,,35125
Greedy,0,0.0018758773803710938,,35899
Greedy,0,0.009429931640625,,36106
Greedy,0,0.011004924774169922,,35485
Greedy,0,0.004372835159301758,,35818
Greedy,0,0.0028562545776367188,,35305
Greedy,0,0.007738828659057617,,34963
Greedy,0,0.006727933883666992,,35431
Greedy,0,0.019487857818603516,,35917
Greedy,0,0.003030061721801758,,34675
Greedy,0,0.030743122100830078,,35809
Greedy,0,0.00988912582397461,,35449
Greedy,0,0.02033400535583496,,34693
Greedy,0,0.0072939395904541016,,35116
Greedy,0,0.0045239925384521484,,34873
Greedy,0,0.00942087173461914,,35602
Greedy,0,0.01651597023010254,,34828
Greedy,0,0.032936811447143555,,35044
Greedy,0,0.006102085113525391,,34936
Greedy,0,0.019023895263671875,,35179
Greedy,0,0.008904218673706055,,35080
Greedy,0,0.0033998489379882812,,35305
Greedy,0,0.0033218860626220703,,35440
Greedy,0,0.013792991638183594,,35431
Greedy,0,0.003300189971923828,,35359
Greedy,0,0.0032739639282226562,,35449
Greedy,0,0.0020051002502441406,,35863
Greedy,0,0.012198925018310547,,35548
Greedy,0,0.0034570693969726562,,35323
Greedy,0,0.006469011306762695,,35170
Greedy,0,0.018968820571899414,,35467
Greedy,0,0.01690506935119629,,35521
Greedy,0,0.009447097778320312,,35431
Greedy,0,0.0047130584716796875,,35125
Greedy,0,0.0048618316650390625,,35557
Greedy,0,0.018029212951660156,,35935
Greedy,0,0.009065866470336914,,35917
Greedy,0,0.010661840438842773,,35350
Greedy,0,0.007785320281982422,,35548
Greedy,0,0.014566898345947266,,35305
Greedy,0,0.02098679542541504,,35224
Greedy,0,0.0311431884765625,,35854
Greedy,0,0.01931595802307129,,35368
Greedy,0,0.010834932327270508,,35629
Greedy,0,0.0019211769104003906,,35341
Greedy,0,0.0033197402954101562,,35269
Greedy,0,0.001878976821899414,,35377
Greedy,0,0.010816097259521484,,35467
Greedy,0,0.010929107666015625,,35800
Greedy,0,0.02218794822692871,,35116
Greedy,0,0.00482487678527832,,35368
Greedy,0,0.031075000762939453,,35314
Greedy,0,0.0017750263214111328,,35215
Greedy,0,0.004517793655395508,,35287
Greedy,0,0.005955219268798828,,35854
Greedy,0,0.024461746215820312,,35584
Greedy,0,0.004419088363647461,,35458
Greedy,0,0.004431247711181641,,35602
Greedy,0,0.013959884643554688,,35413
Greedy,0,0.011152982711791992,,35575
Greedy,0,0.0034019947052001953,,35701
Greedy,0,0.0017688274383544922,,35161
Greedy,0,0.007090330123901367,,35251
Greedy,0,0.012285947799682617,,35125
Greedy,0,0.012433767318725586,,35557
Greedy,0,0.004382133483886719,,35305
Greedy,0,0.01141500473022461,,35476
Greedy,0,0.0018830299377441406,,35332
Greedy,0,0.03509688377380371,,35539
Greedy,0,0.03226113319396973,,35152
Greedy,0,0.009853839874267578,,35989
Greedy,0,0.0017642974853515625,,35089
Greedy,0,0.0030918121337890625,,35431
Greedy,0,0.0032079219818115234,,35584
Greedy,0,0.003039836883544922,,35161
Greedy,0,0.011016130447387695,,35782
Greedy,0,0.02032613754272461,,34954
Greedy,0,0.004391908645629883,,35503
Greedy,0,0.01358795166015625,,35305
Greedy,0,0.03552699089050293,,35260
Greedy,0,0.003058910369873047,,35134
Greedy,0,0.0030531883239746094,,35278
Greedy,0,0.0017440319061279297,,35422
Greedy,0,0.005965709686279297,,35071
Greedy,0,0.0071680545806884766,,35494
Greedy,0,0.01423192024230957,,35440
Greedy,0,0.006106138229370117,,35548
Greedy,0,0.003267049789428711,,34639
Greedy,0,0.00623011589050293,,34810
Greedy,0,0.024817943572998047,,35602
Greedy,0,0.0018732547760009766,,35314
Greedy,0,0.011899948120117188,,35485
Greedy,0,0.0033109188079833984,,35215
Greedy,0,0.023231029510498047,,35782
Greedy,0,0.026031970977783203,,35224
Greedy,0,0.010332107543945312,,34594
Greedy,0,0.00767827033996582,,35935
Greedy,0,0.0018839836120605469,,35197
Greedy,0,0.003407001495361328,,35458
Greedy,0,0.004721879959106445,,35773
Greedy,0,0.024071931838989258,,35314
Greedy,0,0.01500701904296875,,35746
Greedy,0,0.0033731460571289062,,35215
Greedy,0,0.010711908340454102,,35008
Greedy,0,0.019311904907226562,,35323
Greedy,0,0.006470203399658203,,35413
Greedy,0,0.010663986206054688,,34612
Greedy,0,0.0048389434814453125,,35431
Greedy,0,0.01314091682434082,,35665
Greedy,0,0.007541179656982422,,35548
Greedy,0,0.002043008804321289,,35404
Greedy,0,0.017894983291625977,,35188
Greedy,0,0.013585090637207031,,35710
Greedy,0,0.0078122615814208984,,35449
Greedy,0,0.00642085075378418,,35269
Greedy,0,0.017794132232666016,,35476
Greedy,0,0.0033118724822998047,,35350
Greedy,0,0.013791084289550781,,35233
Greedy,0,0.007497072219848633,,35755
Greedy,0,0.014613866806030273,,35314
Greedy,0,0.004839181900024414,,35170
Greedy,0,0.01037287712097168,,35296
Greedy,0,0.029140949249267578,,35494
Greedy,0,0.0047109127044677734,,35386
Greedy,0,0.011882305145263672,,35143
Greedy,0,0.033371686935424805,,36106
Greedy,0,0.013712882995605469,,35197
Greedy,0,0.001894235610961914,,35458
Greedy,0,0.003553152084350586,,35188
